Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 5;
nRepetitions = 10;
condition = frame;
location = v;
expDate = 2016_Feb_25_0900;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
5.0 4.0 1.0 0.44
20.0 11.0 1.0 0.31
25.0 7.0 1.0 0.41
35.0 4.0 1.0 0.28
5.0 -1.0 -1.0 0.35
-30.0 -6.0 -1.0 0.39
-5.0 1.0 1.0 0.48
-25.0 -3.0 -1.0 0.50
30.0 -1.0 -1.0 0.39
20.0 1.0 -1.0 0.38
10.0 -6.0 -1.0 0.38
40.0 7.0 1.0 0.30
0.0 -9.0 -1.0 0.33
-45.0 4.0 1.0 0.33
40.0 -6.0 -1.0 0.38
-5.0 -1.0 1.0 0.45
15.0 -13.0 -1.0 0.32
25.0 1.0 1.0 0.34
25.0 11.0 1.0 0.28
-20.0 -6.0 -1.0 0.34
-45.0 -1.0 1.0 0.52
40.0 -9.0 -1.0 0.30
30.0 1.0 -1.0 0.46
0.0 11.0 1.0 0.31
-40.0 -3.0 1.0 0.53
5.0 -6.0 -1.0 0.32
35.0 1.0 1.0 0.36
20.0 -13.0 -1.0 0.36
30.0 -9.0 -1.0 0.49
-40.0 4.0 1.0 0.31
-30.0 7.0 1.0 0.37
-40.0 -13.0 -1.0 0.55
25.0 11.0 1.0 0.32
30.0 7.0 1.0 0.42
15.0 -9.0 -1.0 0.39
-20.0 -9.0 -1.0 0.37
-25.0 -1.0 1.0 0.48
-10.0 -13.0 -1.0 0.38
-30.0 1.0 -1.0 0.54
5.0 -1.0 -1.0 0.34
40.0 1.0 -1.0 0.39
35.0 -3.0 -1.0 0.36
-25.0 -3.0 -1.0 0.46
40.0 7.0 1.0 0.44
30.0 4.0 1.0 0.40
15.0 -6.0 -1.0 0.40
-25.0 -9.0 -1.0 0.46
40.0 -6.0 -1.0 0.31
-35.0 -1.0 1.0 0.46
10.0 -9.0 -1.0 0.41
35.0 -9.0 -1.0 0.34
-40.0 1.0 1.0 0.40
20.0 1.0 -1.0 0.31
25.0 -6.0 -1.0 0.36
20.0 -9.0 -1.0 0.34
35.0 -13.0 -1.0 0.33
-35.0 1.0 1.0 0.35
-10.0 1.0 1.0 0.34
5.0 4.0 1.0 0.46
0.0 -9.0 -1.0 0.36
35.0 4.0 1.0 0.40
-30.0 -1.0 1.0 0.48
-45.0 1.0 -1.0 0.35
-20.0 4.0 1.0 0.31
-15.0 -3.0 -1.0 0.45
25.0 4.0 1.0 0.46
25.0 -3.0 -1.0 0.36
-5.0 1.0 1.0 0.36
10.0 -3.0 -1.0 0.56
5.0 -3.0 -1.0 0.34
-25.0 4.0 1.0 0.46
20.0 4.0 1.0 0.45
-5.0 -13.0 -1.0 0.30
-25.0 1.0 1.0 0.38
-30.0 4.0 1.0 0.56
-15.0 11.0 1.0 0.48
-10.0 -6.0 -1.0 0.42
30.0 -3.0 -1.0 0.46
40.0 -1.0 -1.0 0.44
-30.0 -6.0 -1.0 0.35
-5.0 -1.0 -1.0 0.55
0.0 7.0 1.0 0.39
-10.0 11.0 1.0 0.39
-30.0 -9.0 -1.0 0.41
10.0 -13.0 -1.0 0.39
-45.0 4.0 1.0 0.32
0.0 -3.0 -1.0 0.45
10.0 7.0 1.0 0.33
-35.0 7.0 1.0 0.36
10.0 -6.0 -1.0 0.38
10.0 4.0 -1.0 0.50
15.0 4.0 1.0 0.26
-15.0 7.0 1.0 0.31
-30.0 -13.0 -1.0 0.39
-20.0 -13.0 1.0 0.28
40.0 11.0 1.0 0.36
-40.0 11.0 1.0 0.37
-35.0 -13.0 -1.0 0.29
35.0 11.0 1.0 0.39
15.0 7.0 1.0 0.35
20.0 7.0 1.0 0.38
15.0 -13.0 -1.0 0.39
-40.0 -6.0 -1.0 0.47
-45.0 7.0 1.0 0.29
25.0 -13.0 -1.0 0.46
-15.0 -9.0 -1.0 0.48
-40.0 -9.0 -1.0 0.32
25.0 7.0 1.0 0.37
-15.0 -13.0 -1.0 0.42
-10.0 7.0 1.0 0.42
-35.0 -6.0 -1.0 0.37
40.0 -13.0 -1.0 0.32
15.0 -3.0 -1.0 0.29
0.0 -1.0 1.0 0.63
-45.0 -3.0 -1.0 0.47
-30.0 -3.0 -1.0 0.45
30.0 -1.0 -1.0 0.43
0.0 -6.0 -1.0 0.36
-35.0 -3.0 -1.0 0.42
