Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 16;
nRepetitions = 10;
condition = frame;
location = v;
expDate = 2016_Apr_13_1337;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
-5.0 -7.0 -1.0 0.96
25.0 -17.0 -1.0 0.47
-45.0 -7.0 -1.0 0.64
-40.0 -13.0 -1.0 0.52
-30.0 -17.0 -1.0 0.52
-15.0 -7.0 1.0 0.79
-40.0 0.0 1.0 0.34
5.0 -17.0 -1.0 0.53
25.0 3.0 1.0 0.61
-35.0 0.0 1.0 0.47
10.0 0.0 1.0 0.57
15.0 3.0 1.0 0.60
-25.0 -7.0 1.0 0.98
-30.0 7.0 1.0 0.54
-25.0 -5.0 1.0 0.57
30.0 7.0 1.0 0.45
5.0 0.0 1.0 0.64
-40.0 -5.0 -1.0 0.75
20.0 -17.0 -1.0 0.42
10.0 -13.0 -1.0 0.44
-40.0 -7.0 -1.0 0.47
0.0 -17.0 -1.0 0.49
40.0 -3.0 1.0 0.78
-45.0 -3.0 1.0 0.37
-5.0 -5.0 -1.0 0.70
5.0 -10.0 -1.0 0.55
25.0 -5.0 -1.0 0.92
40.0 -7.0 -1.0 0.54
-10.0 -10.0 -1.0 0.56
15.0 -13.0 -1.0 0.59
-15.0 0.0 1.0 0.69
35.0 -5.0 1.0 0.61
-10.0 -17.0 -1.0 0.60
15.0 -3.0 1.0 0.70
40.0 7.0 1.0 0.67
30.0 -7.0 -1.0 0.68
-35.0 -5.0 1.0 0.66
-10.0 -13.0 -1.0 0.75
30.0 3.0 1.0 0.64
25.0 -13.0 -1.0 0.54
-20.0 -7.0 1.0 0.54
-35.0 -13.0 -1.0 0.72
-45.0 -10.0 -1.0 0.50
-15.0 7.0 1.0 0.47
20.0 7.0 1.0 0.81
-45.0 -13.0 -1.0 0.60
30.0 -17.0 -1.0 0.54
-20.0 -17.0 -1.0 0.55
-5.0 -10.0 -1.0 0.54
40.0 3.0 1.0 0.65
0.0 0.0 1.0 0.57
20.0 -10.0 -1.0 0.59
-30.0 -7.0 1.0 0.90
-5.0 7.0 1.0 0.45
-5.0 -13.0 -1.0 0.60
10.0 -17.0 -1.0 0.41
40.0 0.0 1.0 0.55
-25.0 -13.0 -1.0 0.74
-20.0 -13.0 -1.0 0.47
-25.0 -3.0 1.0 0.65
0.0 -13.0 -1.0 0.52
35.0 -10.0 -1.0 0.54
35.0 -13.0 -1.0 0.46
10.0 3.0 1.0 0.60
-10.0 -3.0 1.0 0.44
40.0 -5.0 1.0 0.45
-25.0 3.0 1.0 0.37
30.0 -5.0 1.0 0.53
-45.0 3.0 1.0 0.39
20.0 0.0 1.0 0.49
20.0 -3.0 1.0 0.49
-15.0 -17.0 -1.0 0.64
-20.0 -3.0 1.0 0.62
35.0 -7.0 -1.0 0.71
-45.0 -5.0 -1.0 0.64
0.0 -7.0 -1.0 0.49
10.0 -3.0 -1.0 0.47
-40.0 -3.0 -1.0 0.44
-10.0 7.0 1.0 0.69
-40.0 -17.0 -1.0 0.58
-35.0 -7.0 -1.0 1.29
0.0 3.0 1.0 0.61
5.0 -3.0 1.0 0.40
-10.0 0.0 1.0 0.56
-30.0 -10.0 1.0 0.59
-30.0 3.0 1.0 0.64
-5.0 3.0 1.0 0.60
20.0 3.0 1.0 0.57
-10.0 -7.0 1.0 1.01
-40.0 3.0 1.0 0.58
-35.0 7.0 1.0 0.39
0.0 -5.0 -1.0 0.69
40.0 -10.0 -1.0 0.41
-15.0 -13.0 -1.0 0.37
20.0 -5.0 -1.0 0.65
-45.0 7.0 1.0 0.71
40.0 -17.0 -1.0 0.58
30.0 -10.0 -1.0 0.43
25.0 -10.0 -1.0 0.44
-20.0 3.0 1.0 0.55
-45.0 -17.0 -1.0 0.56
-30.0 -3.0 1.0 0.64
-35.0 3.0 1.0 0.42
-10.0 3.0 1.0 0.41
-5.0 -17.0 -1.0 0.58
25.0 7.0 1.0 0.60
5.0 -7.0 -1.0 0.46
15.0 -10.0 -1.0 0.44
30.0 -13.0 -1.0 0.48
5.0 7.0 1.0 0.61
-20.0 -5.0 1.0 0.71
25.0 0.0 1.0 0.52
-15.0 3.0 1.0 0.57
-30.0 -5.0 1.0 0.46
-25.0 0.0 1.0 0.58
5.0 3.0 1.0 0.59
-20.0 -10.0 1.0 0.73
0.0 -3.0 1.0 0.68
15.0 -7.0 -1.0 0.95
-35.0 -17.0 -1.0 0.39
15.0 0.0 -1.0 0.42
-30.0 0.0 1.0 0.79
35.0 7.0 1.0 0.45
30.0 -3.0 1.0 0.50
25.0 -7.0 1.0 0.85
35.0 -3.0 1.0 0.48
0.0 -10.0 -1.0 0.65
15.0 -17.0 -1.0 0.40
0.0 7.0 1.0 0.68
25.0 -3.0 1.0 0.51
-40.0 7.0 1.0 0.70
-20.0 7.0 1.0 0.45
15.0 7.0 1.0 0.86
-15.0 -3.0 1.0 0.59
5.0 -5.0 -1.0 0.70
-5.0 0.0 1.0 0.74
-15.0 -10.0 1.0 0.97
20.0 -13.0 -1.0 0.60
-45.0 0.0 1.0 0.60
10.0 -7.0 -1.0 0.60
10.0 7.0 1.0 0.59
-40.0 0.0 1.0 0.54
-45.0 -3.0 1.0 0.68
5.0 3.0 1.0 1.04
15.0 -7.0 -1.0 0.62
40.0 3.0 1.0 0.62
-45.0 -13.0 -1.0 0.68
25.0 -10.0 -1.0 0.75
-25.0 -10.0 -1.0 0.55
-15.0 -3.0 1.0 0.74
