Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 16;
nRepetitions = 10;
condition = tilt30;
location = v;
expDate = 2016_Apr_13_1443;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
-5.0 9.0 1.0 0.59
-15.0 9.0 1.0 0.52
10.0 -11.0 -1.0 0.57
-35.0 -1.0 1.0 1.43
40.0 9.0 1.0 0.49
15.0 -1.0 -1.0 0.49
-5.0 4.0 1.0 0.58
0.0 -11.0 -1.0 0.68
-35.0 -11.0 -1.0 0.48
-15.0 -4.0 -1.0 1.51
15.0 -6.0 -1.0 0.52
10.0 -6.0 -1.0 0.55
-25.0 -16.0 -1.0 0.61
10.0 -16.0 -1.0 0.64
-30.0 -8.0 -1.0 0.76
30.0 9.0 1.0 1.15
-15.0 -21.0 -1.0 0.59
40.0 4.0 1.0 1.10
-30.0 -21.0 -1.0 0.66
-35.0 -21.0 -1.0 0.62
30.0 -8.0 -1.0 0.96
-35.0 -16.0 -1.0 0.49
0.0 -6.0 -1.0 0.99
-40.0 -1.0 -1.0 0.79
40.0 -11.0 -1.0 0.65
-35.0 -6.0 -1.0 0.65
-10.0 -16.0 -1.0 0.69
0.0 4.0 1.0 0.70
5.0 -1.0 1.0 0.73
-20.0 -8.0 1.0 0.81
10.0 -4.0 1.0 0.90
-15.0 -8.0 1.0 1.35
-45.0 -21.0 -1.0 0.80
5.0 -16.0 -1.0 0.62
-45.0 -8.0 -1.0 0.72
-35.0 9.0 1.0 0.66
-20.0 -1.0 1.0 0.88
15.0 -8.0 -1.0 0.72
25.0 -8.0 -1.0 0.77
15.0 -11.0 -1.0 0.80
20.0 -6.0 -1.0 0.67
25.0 -1.0 1.0 1.04
-30.0 4.0 1.0 0.45
35.0 -1.0 1.0 0.55
40.0 -6.0 1.0 0.74
-30.0 -11.0 1.0 0.71
30.0 -1.0 1.0 0.67
-45.0 9.0 1.0 0.90
-35.0 4.0 1.0 0.45
-40.0 -16.0 -1.0 0.88
-10.0 -21.0 -1.0 0.43
-40.0 -11.0 -1.0 1.25
-45.0 -1.0 1.0 0.87
-30.0 9.0 1.0 0.50
35.0 9.0 1.0 0.46
0.0 -16.0 -1.0 0.77
-40.0 -8.0 -1.0 1.44
30.0 -11.0 -1.0 0.50
35.0 -11.0 -1.0 0.87
30.0 -6.0 -1.0 1.78
-10.0 -6.0 -1.0 0.84
-25.0 9.0 1.0 0.95
35.0 -6.0 1.0 0.83
20.0 -8.0 1.0 0.97
0.0 -1.0 1.0 1.54
-30.0 -4.0 1.0 0.59
35.0 -8.0 1.0 0.59
-5.0 -6.0 1.0 0.57
30.0 -16.0 1.0 0.59
-5.0 -8.0 1.0 0.53
20.0 -11.0 1.0 0.91
-10.0 -8.0 1.0 0.56
-10.0 9.0 1.0 0.88
-10.0 -16.0 -1.0 0.83
10.0 -16.0 -1.0 0.68
25.0 4.0 1.0 0.72
-30.0 -6.0 -1.0 1.45
-35.0 4.0 1.0 0.77
-15.0 9.0 1.0 0.37
10.0 -1.0 -1.0 1.25
5.0 -21.0 -1.0 0.51
15.0 -4.0 -1.0 0.42
-15.0 -4.0 1.0 1.50
-30.0 -16.0 -1.0 0.74
10.0 4.0 1.0 1.40
30.0 4.0 1.0 0.46
-20.0 -1.0 1.0 0.56
-5.0 -16.0 -1.0 0.69
20.0 9.0 -1.0 0.48
-15.0 -16.0 -1.0 0.58
20.0 -4.0 -1.0 0.59
10.0 -6.0 -1.0 0.70
15.0 -16.0 -1.0 0.84
35.0 -11.0 -1.0 0.53
15.0 9.0 1.0 1.15
25.0 -4.0 1.0 2.22
-25.0 -16.0 -1.0 0.79
20.0 -16.0 -1.0 0.42
-25.0 -4.0 1.0 0.69
25.0 -21.0 -1.0 1.18
-40.0 -6.0 -1.0 1.84
40.0 -4.0 -1.0 0.83
0.0 -21.0 -1.0 0.74
-10.0 -21.0 -1.0 0.38
15.0 4.0 -1.0 1.06
-40.0 -4.0 -1.0 0.53
15.0 -1.0 -1.0 0.76
40.0 -6.0 -1.0 0.64
-35.0 -8.0 -1.0 0.53
-5.0 -1.0 -1.0 0.89
5.0 9.0 1.0 0.53
-35.0 9.0 1.0 0.37
20.0 -6.0 -1.0 0.93
40.0 -21.0 -1.0 0.45
0.0 -8.0 -1.0 0.37
-20.0 -4.0 -1.0 0.42
5.0 4.0 -1.0 0.48
40.0 4.0 -1.0 0.86
-35.0 -11.0 -1.0 0.60
25.0 -1.0 -1.0 0.75
-15.0 -11.0 -1.0 0.68
15.0 -11.0 -1.0 0.68
-15.0 -8.0 1.0 1.03
25.0 -6.0 1.0 0.65
5.0 -16.0 1.0 0.59
-20.0 -6.0 1.0 0.59
35.0 -16.0 1.0 0.98
20.0 -8.0 1.0 0.63
20.0 -1.0 1.0 0.89
40.0 -1.0 1.0 0.80
-30.0 9.0 1.0 0.65
20.0 -21.0 -1.0 1.95
25.0 -16.0 -1.0 1.16
-25.0 -21.0 -1.0 0.71
35.0 9.0 1.0 1.12
-40.0 -1.0 1.0 1.31
-30.0 -21.0 1.0 1.31
-5.0 -4.0 1.0 1.21
-5.0 -21.0 -1.0 1.53
0.0 4.0 1.0 0.78
5.0 -1.0 1.0 1.36
-45.0 -6.0 1.0 0.57
-25.0 -1.0 1.0 0.55
35.0 -21.0 1.0 0.64
-5.0 4.0 1.0 0.59
-5.0 -11.0 -1.0 1.25
-40.0 -21.0 -1.0 0.36
0.0 -6.0 -1.0 1.05
-25.0 9.0 1.0 0.73
-20.0 -8.0 1.0 1.08
10.0 9.0 1.0 0.58
5.0 -11.0 -1.0 1.86
-15.0 -21.0 -1.0 0.62
-20.0 9.0 1.0 0.83
-40.0 4.0 1.0 0.49
30.0 -4.0 1.0 0.72
-35.0 -16.0 1.0 0.72
-30.0 -1.0 1.0 0.58
0.0 -16.0 -1.0 0.99
15.0 -6.0 -1.0 0.38
40.0 -11.0 -1.0 0.61
15.0 -21.0 -1.0 0.48
-45.0 -8.0 -1.0 0.95
25.0 9.0 -1.0 1.51
-20.0 -16.0 -1.0 0.95
20.0 4.0 1.0 0.84
-45.0 -11.0 1.0 0.78
-35.0 -4.0 -1.0 0.66
-15.0 -6.0 -1.0 0.63
-10.0 -6.0 -1.0 0.83
-30.0 -11.0 1.0 0.77
-35.0 -6.0 1.0 0.90
10.0 -21.0 1.0 0.54
-10.0 -4.0 1.0 0.64
10.0 -11.0 -1.0 1.66
-10.0 4.0 1.0 1.88
0.0 -1.0 1.0 1.61
-10.0 -11.0 -1.0 1.62
10.0 -8.0 -1.0 0.62
-40.0 -8.0 -1.0 0.76
25.0 -8.0 -1.0 1.35
-45.0 9.0 1.0 1.15
30.0 -21.0 -1.0 0.88
-40.0 -11.0 -1.0 1.11
35.0 -4.0 -1.0 1.05
-40.0 9.0 1.0 0.76
-25.0 -11.0 -1.0 1.02
15.0 -8.0 -1.0 0.63
5.0 -6.0 -1.0 0.51
5.0 -8.0 -1.0 0.56
-30.0 4.0 1.0 0.80
-20.0 -11.0 -1.0 0.90
-45.0 4.0 1.0 1.06
25.0 -11.0 -1.0 1.28
-20.0 4.0 1.0 0.97
-45.0 -4.0 1.0 0.47
