Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 11;
nRepetitions = 10;
condition = tilt15;
location = v;
expDate = 2016_Mar_04_1441;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
15.0 -4.5 -1.0 1.53
-25.0 -4.5 -1.0 0.81
-40.0 -19.5 -1.0 0.42
-45.0 -6.5 -1.0 0.34
-35.0 -4.5 1.0 0.54
-35.0 10.5 1.0 0.37
-20.0 0.5 -1.0 1.31
-45.0 -19.5 -1.0 0.41
-30.0 0.5 -1.0 1.27
-45.0 10.5 1.0 0.84
-5.0 5.5 1.0 0.42
20.0 -9.5 -1.0 0.45
15.0 5.5 -1.0 0.61
-45.0 -6.5 -1.0 0.46
-35.0 -14.5 -1.0 0.38
5.0 -2.5 -1.0 0.33
15.0 10.5 -1.0 0.45
25.0 -6.5 -1.0 0.59
-30.0 -9.5 -1.0 0.50
-40.0 10.5 -1.0 0.42
20.0 -2.5 -1.0 0.88
30.0 -2.5 -1.0 0.60
15.0 -6.5 -1.0 0.47
5.0 -19.5 -1.0 0.43
-25.0 -19.5 -1.0 0.47
5.0 -4.5 -1.0 0.62
-25.0 -6.5 -1.0 0.44
25.0 -19.5 -1.0 0.60
-40.0 -6.5 -1.0 0.54
-35.0 5.5 1.0 1.11
30.0 10.5 1.0 0.50
25.0 -4.5 -1.0 0.61
20.0 -6.5 -1.0 0.66
10.0 -14.5 -1.0 0.44
30.0 -6.5 -1.0 0.49
-15.0 -14.5 -1.0 0.43
-40.0 5.5 1.0 0.68
20.0 0.5 1.0 0.71
-40.0 -14.5 -1.0 0.53
-15.0 -4.5 1.0 0.69
-30.0 5.5 1.0 0.46
-15.0 -9.5 -1.0 0.51
40.0 -6.5 1.0 0.69
-20.0 -19.5 -1.0 0.49
-15.0 -19.5 -1.0 0.53
-25.0 0.5 1.0 0.60
35.0 -9.5 1.0 0.56
40.0 -2.5 1.0 0.48
-15.0 -6.5 1.0 0.48
-15.0 10.5 1.0 0.45
-5.0 10.5 1.0 0.48
0.0 -4.5 -1.0 0.73
-5.0 -4.5 1.0 0.88
-35.0 -2.5 1.0 0.62
-25.0 -9.5 1.0 0.77
-35.0 -9.5 1.0 0.63
