Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 7;
nRepetitions = 10;
condition = frame;
location = v;
expDate = 2016_Mar_29_0908;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
-10.0 -8.0 -1.0 0.82
-45.0 5.0 1.0 0.90
5.0 8.0 1.0 0.68
30.0 2.0 1.0 0.99
-25.0 -12.0 -1.0 0.49
30.0 5.0 1.0 0.51
-40.0 -5.0 -1.0 0.89
-30.0 0.0 1.0 0.72
5.0 0.0 -1.0 0.83
40.0 -5.0 -1.0 0.86
-45.0 0.0 1.0 1.25
-25.0 0.0 1.0 0.99
-25.0 -8.0 -1.0 0.75
-45.0 -2.0 -1.0 2.28
0.0 -2.0 -1.0 1.17
-45.0 -5.0 -1.0 0.65
-40.0 5.0 1.0 0.92
-40.0 -8.0 -1.0 0.74
15.0 0.0 -1.0 0.71
10.0 12.0 1.0 0.59
35.0 -8.0 -1.0 0.57
40.0 -12.0 -1.0 0.52
-45.0 2.0 1.0 0.54
15.0 2.0 -1.0 0.62
5.0 -12.0 -1.0 0.51
-10.0 -2.0 1.0 0.79
40.0 5.0 1.0 1.05
25.0 5.0 1.0 0.72
-30.0 -5.0 1.0 0.94
25.0 -2.0 -1.0 0.53
-35.0 -5.0 -1.0 0.55
-40.0 8.0 1.0 0.53
-10.0 -12.0 -1.0 0.54
30.0 -2.0 -1.0 0.52
30.0 12.0 1.0 0.76
-15.0 -8.0 -1.0 0.53
15.0 8.0 1.0 0.56
15.0 -8.0 -1.0 0.52
-20.0 -8.0 -1.0 0.89
-35.0 -12.0 -1.0 0.65
25.0 8.0 -1.0 1.64
-20.0 -5.0 -1.0 0.71
25.0 2.0 -1.0 0.63
20.0 -8.0 -1.0 0.66
-10.0 8.0 1.0 0.64
-10.0 -5.0 1.0 0.94
35.0 -2.0 1.0 1.11
0.0 -5.0 -1.0 0.84
-15.0 0.0 1.0 0.61
-15.0 -12.0 -1.0 0.58
20.0 8.0 1.0 0.44
5.0 12.0 1.0 0.60
25.0 -12.0 -1.0 0.55
-5.0 -5.0 -1.0 0.83
-15.0 -5.0 -1.0 0.68
-5.0 5.0 1.0 0.50
25.0 -5.0 -1.0 0.63
40.0 0.0 1.0 0.52
-40.0 0.0 1.0 0.53
-45.0 12.0 1.0 0.68
-25.0 5.0 1.0 0.76
-10.0 2.0 1.0 0.47
10.0 -5.0 -1.0 0.60
-45.0 8.0 1.0 0.53
30.0 -8.0 -1.0 0.52
30.0 -12.0 -1.0 0.49
-5.0 0.0 1.0 0.51
10.0 -12.0 -1.0 0.59
-15.0 12.0 1.0 0.48
-35.0 2.0 1.0 0.53
-30.0 -2.0 1.0 0.50
0.0 0.0 1.0 0.73
10.0 -8.0 -1.0 0.49
5.0 -5.0 -1.0 0.49
-25.0 -5.0 -1.0 0.55
-35.0 0.0 -1.0 0.85
-40.0 2.0 1.0 0.70
30.0 -5.0 -1.0 0.71
-30.0 -8.0 -1.0 0.54
-5.0 -12.0 -1.0 0.66
5.0 -8.0 -1.0 0.59
-25.0 12.0 1.0 0.52
40.0 2.0 1.0 0.62
15.0 12.0 1.0 0.49
35.0 -5.0 -1.0 0.67
0.0 -12.0 -1.0 0.55
-5.0 12.0 1.0 0.51
-5.0 8.0 1.0 0.48
-20.0 5.0 1.0 0.52
